       COLNR	       ROWNR	         ZNR	           X	           Y	           Z	        TIME	          pH	          pe	     calcite	   d_calcite	    siderite	  d_siderite	      gypsum	    d_gypsum	     SiO2(a)	   d_SiO2(a)	    gibbsite	  d_gibbsite	  Fe(OH)3(a)	d_Fe(OH)3(a)	          pH	          Cl	        C(4)	          Ca	          Mg	          Na	           K	       Fe(2)	       Fe(3)	       Mn(2)	          Al	          Si	        S(6)	       water	         Cat	         Caq	
           1	          49	           1	      0.2425	         0.5	         0.5	          12	        6.59	       2.557	    0.006289	  -1.689e-09	    0.001816	  -5.143e-09	           0	           0	      0.1425	   8.112e-12	   0.0008812	   3.815e-14	    0.000651	   5.135e-09	        6.59	   0.0005957	    0.007114	     0.01409	    0.001488	    0.001343	   0.0004129	   0.0001065	   5.358e-08	   2.944e-05	   8.155e-08	    0.001921	     0.01381	        0.35	     0.01122	    0.004932	
           1	          50	           1	      0.2475	         0.5	         0.5	          12	       6.607	       2.517	    0.006289	  -2.406e-09	    0.001816	  -5.713e-09	           0	           0	      0.1425	  -6.667e-12	   0.0008812	   5.211e-14	   0.0006511	   5.702e-09	       6.607	   0.0006267	    0.006897	      0.0137	    0.001521	     0.00134	   0.0003882	   0.0001036	   5.159e-08	   3.071e-05	   8.315e-08	    0.001922	     0.01347	        0.35	     0.01108	    0.004795	
           1	          51	           1	      0.2525	         0.5	         0.5	          12	       6.624	       2.475	     0.00629	   2.678e-10	    0.001816	   7.892e-10	           0	           0	      0.1425	  -1.235e-11	   0.0008812	  -6.445e-15	   0.0006511	  -7.888e-10	       6.624	   0.0006573	    0.006681	     0.01329	    0.001555	    0.001337	   0.0003638	   0.0001006	    4.96e-08	   3.197e-05	   8.492e-08	    0.001922	     0.01312	        0.35	     0.01094	    0.004653	
           1	          52	           1	      0.2575	         0.5	         0.5	          12	       6.641	       2.431	    0.006291	   -2.76e-09	    0.001816	  -7.239e-09	           0	           0	      0.1425	  -1.007e-11	   0.0008812	   7.426e-14	   0.0006509	    7.22e-09	       6.641	   0.0006872	    0.006469	     0.01288	    0.001587	    0.001334	   0.0003399	   9.755e-05	   4.763e-08	    3.32e-05	   8.689e-08	    0.001923	     0.01276	        0.35	      0.0108	    0.004509	
           1	          53	           1	      0.2625	         0.5	         0.5	          12	        6.66	       2.386	    0.006291	  -2.469e-09	    0.001816	  -5.692e-09	           0	           0	      0.1425	  -2.893e-11	   0.0008812	   6.524e-14	    0.000651	   5.674e-09	        6.66	   0.0007163	    0.006262	     0.01247	    0.001619	    0.001331	   0.0003167	   9.448e-05	   4.569e-08	    3.44e-05	   8.904e-08	    0.001923	      0.0124	        0.35	     0.01066	    0.004365	
           1	          54	           1	      0.2675	         0.5	         0.5	          12	       6.678	       2.341	    0.006292	  -1.095e-09	    0.001816	  -9.336e-10	           0	           0	      0.1425	   1.271e-11	   0.0008812	   2.385e-14	    0.000651	   9.273e-10	       6.678	   0.0007444	    0.006061	     0.01206	    0.001649	    0.001328	   0.0002942	   9.142e-05	   4.378e-08	   3.556e-05	   9.139e-08	    0.001924	     0.01204	        0.35	     0.01051	    0.004221	
           1	          55	           1	      0.2725	         0.5	         0.5	          12	       6.697	       2.295	    0.006293	  -2.211e-09	    0.001816	  -7.894e-09	           0	           0	      0.1425	  -3.643e-11	   0.0008812	    9.92e-14	    0.000651	   7.876e-09	       6.697	   0.0007714	    0.005867	     0.01165	    0.001679	    0.001326	   0.0002727	    8.84e-05	   4.194e-08	   3.666e-05	   9.393e-08	    0.001924	     0.01168	        0.35	     0.01037	    0.004078	
           1	          56	           1	      0.2775	         0.5	         0.5	          12	       6.716	       2.249	    0.006293	     1.7e-09	    0.001816	   7.262e-09	           0	           0	      0.1425	  -4.431e-11	   0.0008812	  -9.653e-14	    0.000651	  -7.246e-09	       6.716	    0.000797	    0.005682	     0.01125	    0.001707	    0.001323	   0.0002523	   8.543e-05	   4.017e-08	   3.772e-05	   9.665e-08	    0.001925	     0.01132	        0.35	     0.01023	    0.003938	
           1	          57	           1	      0.2825	         0.5	         0.5	          12	       6.735	       2.202	    0.006294	  -2.283e-09	    0.001816	  -7.331e-09	           0	           0	      0.1425	  -2.026e-11	   0.0008812	   1.133e-13	    0.000651	   7.317e-09	       6.735	   0.0008213	    0.005506	     0.01086	    0.001733	    0.001321	    0.000233	   8.254e-05	   3.847e-08	   3.871e-05	   9.953e-08	    0.001925	     0.01098	        0.35	      0.0101	    0.003802	
           1	          58	           1	      0.2875	         0.5	         0.5	          12	       6.754	       2.157	    0.006295	  -9.805e-10	    0.001816	  -1.698e-09	           0	           0	      0.1425	   2.162e-11	   0.0008812	   3.406e-14	   0.0006509	    1.69e-09	       6.754	    0.000844	    0.005341	     0.01049	    0.001758	    0.001318	   0.0002149	   7.976e-05	   3.687e-08	   3.965e-05	   1.026e-07	    0.001926	     0.01065	        0.35	    0.009966	    0.003672	
