       COLNR	       ROWNR	         ZNR	           X	           Y	           Z	        TIME	          pH	          pe	     calcite	   d_calcite	    siderite	  d_siderite	      gypsum	    d_gypsum	     SiO2(a)	   d_SiO2(a)	    gibbsite	  d_gibbsite	  Fe(OH)3(a)	d_Fe(OH)3(a)	          pH	          Cl	        C(4)	          Ca	          Mg	          Na	           K	       Fe(2)	       Fe(3)	       Mn(2)	          Al	          Si	        S(6)	       water	         Cat	         Caq	
           1	          45	           1	      0.2225	         0.5	         0.5	          24	       5.168	       4.486	           0	           0	    0.007658	   1.874e-08	    0.005424	  -2.619e-10	      0.1424	   5.844e-11	   0.0008823	   2.489e-11	   0.0006512	  -2.082e-08	       5.168	   0.0001198	    0.007534	     0.01199	   0.0009704	    0.001391	   0.0007929	     0.03738	    1.54e-06	   9.868e-06	   7.185e-06	    0.001883	     0.05107	      0.3498	    0.009618	    0.004194	
           1	          46	           1	      0.2275	         0.5	         0.5	          24	       5.168	       4.485	           0	           0	    0.007676	   8.295e-09	    0.005435	  -3.174e-10	      0.1424	   5.586e-11	   0.0008823	   1.075e-11	   0.0006512	  -1.024e-08	       5.168	     0.00012	    0.007533	     0.01199	   0.0009706	    0.001391	   0.0007927	     0.03734	   1.539e-06	   9.875e-06	   7.172e-06	    0.001883	     0.05103	      0.3498	     0.00963	    0.004195	
           1	          47	           1	      0.2325	         0.5	         0.5	          24	       5.168	       4.485	           0	           0	    0.007666	   2.467e-08	    0.005433	   1.233e-10	      0.1424	   5.004e-11	   0.0008823	   3.339e-11	   0.0006514	  -2.462e-08	       5.168	   0.0001203	    0.007532	     0.01199	   0.0009709	    0.001391	   0.0007925	     0.03729	   1.538e-06	   9.884e-06	   7.156e-06	    0.001883	     0.05099	      0.3498	    0.009628	    0.004196	
           1	          48	           1	      0.2375	         0.5	         0.5	          24	       5.169	       4.485	           0	           0	    0.007664	   2.335e-08	    0.005434	   2.934e-10	      0.1424	   1.654e-12	   0.0008823	    3.16e-11	   0.0006521	  -2.309e-08	       5.169	   0.0001205	    0.007531	       0.012	   0.0009712	    0.001391	   0.0007923	     0.03723	   1.537e-06	   9.895e-06	   7.135e-06	    0.001883	     0.05093	      0.3498	    0.009631	    0.004197	
           1	          49	           1	      0.2425	         0.5	         0.5	          24	       5.169	       4.484	           0	           0	    0.007672	  -6.946e-09	     0.00544	  -1.465e-10	      0.1424	   6.612e-11	   0.0008823	  -1.006e-11	   0.0006516	    6.12e-09	       5.169	   0.0001208	    0.007529	       0.012	   0.0009715	    0.001391	   0.0007921	     0.03715	   1.535e-06	   9.908e-06	   7.109e-06	    0.001883	     0.05085	      0.3498	    0.009638	    0.004198	
           1	          50	           1	      0.2475	         0.5	         0.5	          24	       5.169	       4.483	           0	           0	    0.007656	  -3.938e-10	    0.005433	  -3.688e-10	      0.1424	   4.293e-11	   0.0008823	  -7.191e-14	   0.0006518	   4.004e-09	       5.169	   0.0001212	    0.007527	     0.01201	   0.0009719	    0.001391	   0.0007918	     0.03705	   1.533e-06	   9.924e-06	   7.077e-06	    0.001883	     0.05076	      0.3498	    0.009633	    0.004199	
           1	          51	           1	      0.2525	         0.5	         0.5	          24	        5.17	       4.483	           0	           0	    0.007673	   2.535e-09	    0.005444	   1.485e-10	      0.1424	   1.023e-10	   0.0008823	   2.576e-12	   0.0006511	  -5.796e-09	        5.17	   0.0001217	    0.007525	     0.01201	   0.0009724	    0.001391	   0.0007914	     0.03693	   1.531e-06	   9.943e-06	   7.037e-06	    0.001883	     0.05064	      0.3498	    0.009645	    0.004201	
           1	          52	           1	      0.2575	         0.5	         0.5	          24	       5.171	       4.482	           0	           0	    0.007663	  -2.101e-08	    0.005441	   -7.75e-11	      0.1424	   4.779e-11	   0.0008823	  -2.808e-11	   0.0006511	   2.085e-08	       5.171	   0.0001222	    0.007523	     0.01202	    0.000973	    0.001391	    0.000791	     0.03677	   1.528e-06	   9.965e-06	   6.987e-06	    0.001883	     0.05049	      0.3498	    0.009645	    0.004204	
           1	          53	           1	      0.2625	         0.5	         0.5	          24	       5.172	        4.48	           0	           0	    0.007663	   5.675e-09	    0.005442	  -2.676e-10	      0.1424	  -8.889e-12	   0.0008823	   7.091e-12	   0.0006516	  -6.212e-09	       5.172	   0.0001228	     0.00752	     0.01203	   0.0009737	     0.00139	   0.0007905	     0.03658	   1.523e-06	    9.99e-06	   6.924e-06	    0.001884	      0.0503	      0.3498	    0.009649	    0.004207	
           1	          54	           1	      0.2675	         0.5	         0.5	          24	       5.173	       4.479	           0	           0	     0.00767	   7.013e-09	    0.005447	   3.639e-10	      0.1424	   7.306e-11	   0.0008823	   9.453e-12	   0.0006512	  -4.968e-09	       5.173	   0.0001236	    0.007517	     0.01204	   0.0009745	     0.00139	   0.0007899	     0.03633	   1.518e-06	   1.002e-05	   6.847e-06	    0.001884	     0.05007	      0.3498	    0.009658	    0.004211	
